fecha_calculo,ticker,nombre,sector,region,fecha_entrada,per,ev_ebit,roic,puntuacion,precio_entrada,precio_actual,retorno_total,max_drawdown,dias_en_seguimiento,error_descarga
2026-08-30T09:13:45.771322+00:00,NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,Europa,2026-08-29 10:35:00.155535+00:00,9.532224919280658,11.821360014565622,0.1206850300930109,2.0,,,,,,
2026-08-31T15:59:55.317294+00:00,4503.T,Astellas Pharma Inc.,Healthcare,Japon,2026-08-31 15:59:50.914633+00:00,14.585323134333786,11.587873772184947,0.1276328756666932,14.0,,,,,,
2026-08-31T15:59:55.317294+00:00,5108.T,Bridgestone Corporation,Consumer Cyclical,Japon,2026-08-31 15:59:50.914633+00:00,12.289833971932074,10.095239967443376,0.1016717495926479,13.0,,,,,,
2026-08-31T15:59:55.317294+00:00,FCG.NZ,Fonterra Co-operative Group Limited,Consumer Defensive,AsiaPacifico,2026-08-31 15:59:50.914633+00:00,10.237652247272727,8.6047638464351,0.1039145816987766,11.0,,,,,,
2026-08-31T15:59:55.317294+00:00,IAG.MC,International Consolidated Airlines Group S.A.,Industrials,Europa,2026-08-31 15:59:50.914633+00:00,7.135689035783995,5.668584097481722,0.1597800798373864,6.0,,,,,,
2026-08-31T15:59:55.317294+00:00,JBH.AX,JB Hi-Fi Limited,Consumer Cyclical,AsiaPacifico,2026-08-31 15:59:50.914633+00:00,14.930483314962236,11.116880728514513,0.2103019438728858,9.0,,,,,,
2026-08-31T15:59:55.317294+00:00,NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,Europa,2026-08-29 10:35:00.155535+00:00,9.532224919280658,11.821360014565622,0.1206850300930109,2.0,,,,,,
2026-08-31T15:59:55.317294+00:00,ORK.OL,Orkla ASA,Consumer Defensive,Europa,2026-08-31 15:59:50.914633+00:00,13.467902798122063,11.439568144578312,0.1184525970871221,15.0,,,,,,
2026-08-31T15:59:55.317294+00:00,PNDORA.CO,Pandora A/S,Consumer Cyclical,Europa,2026-08-31 15:59:50.914633+00:00,12.513872396694214,10.143597418000525,0.2917331322012146,5.0,,,,,,
2026-08-31T15:59:55.317294+00:00,TEL2-B.ST,Tele2 AB (publ),Communication Services,Europa,2026-08-31 15:59:50.914633+00:00,11.654579559422585,11.913339107351984,0.211680069843599,13.0,,,,,,
2026-08-31T15:59:55.317294+00:00,WKL.AS,Wolters Kluwer N.V.,Industrials,Europa,2026-08-31 15:59:50.914633+00:00,12.061480709480122,11.198990242355606,0.2469685008052921,8.0,,,,,,
2026-09-01T09:05:22.906192+00:00,4503.T,Astellas Pharma Inc.,Healthcare,Japon,2026-09-01 09:05:19.254765+00:00,14.84978343578644,11.785231145198242,0.1276328756666932,16.0,,,,,,
2026-09-01T09:05:22.906192+00:00,5108.T,Bridgestone Corporation,Consumer Cyclical,Japon,2026-09-01 09:05:19.254765+00:00,12.352098393037087,10.145412131838135,0.1016717495926479,15.0,,,,,,
2026-09-01T09:05:22.906192+00:00,B,Barrick Mining Corporation,Basic Materials,Norteamerica,2026-09-01 09:05:19.254765+00:00,11.304580961544357,5.7633739883600414,0.3172170799363226,3.0,,,,,,
2026-09-01T09:05:22.906192+00:00,FCG.NZ,Fonterra Co-operative Group Limited,Consumer Defensive,AsiaPacifico,2026-09-01 09:05:19.254765+00:00,10.25952768,8.61942745155393,0.1039145816987766,13.0,,,,,,
2026-09-01T09:05:22.906192+00:00,IAG.MC,International Consolidated Airlines Group S.A.,Industrials,Europa,2026-09-01 09:05:19.254765+00:00,7.048806932986337,5.614344539398863,0.1597800798373864,7.0,,,,,,
2026-09-01T09:05:22.906192+00:00,JBH.AX,JB Hi-Fi Limited,Consumer Cyclical,AsiaPacifico,2026-09-01 09:05:19.254765+00:00,14.856834325372525,11.065542310756973,0.2103019438728858,12.0,,,,,,
2026-09-01T09:05:22.906192+00:00,NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,Europa,2026-08-29 10:35:00.155535+00:00,9.532224919280658,11.821360014565622,0.1206850300930109,2.0,,,,,,
2026-09-01T09:05:22.906192+00:00,ORK.OL,Orkla ASA,Consumer Defensive,Europa,2026-09-01 09:05:19.254765+00:00,13.53139800938967,11.486124013769365,0.1184525970871221,17.0,,,,,,
2026-09-01T09:05:22.906192+00:00,PNDORA.CO,Pandora A/S,Consumer Cyclical,Europa,2026-09-01 09:05:19.254765+00:00,12.56391500669028,10.176963535030175,0.2917331322012146,7.0,,,,,,
2026-09-01T09:05:22.906192+00:00,TEL2-B.ST,Tele2 AB (publ),Communication Services,Europa,2026-09-01 09:05:19.254765+00:00,11.58224956140004,11.853844507482108,0.211680069843599,15.0,,,,,,
2026-09-01T09:05:22.906192+00:00,WKL.AS,Wolters Kluwer N.V.,Industrials,Europa,2026-09-01 09:05:19.254765+00:00,11.846948795107034,11.040095710079274,0.2469685008052921,9.0,,,,,,
